description,category
Amazon,Shopping
General Store IMPS,Groceries
OTT Subscription Transaction,Entertainment
MakeMyTrip via UPI,Travel
Local Kirana Purchase,Groceries
ATM Withdrawal Bill,Miscellaneous
Domino's via UPI,Food
Ajio Payment,Shopping
Electronics Store Auto-pay,Shopping
Temple Donation via UPI,Miscellaneous
Ajio via UPI,Shopping
Lifestyle IMPS,Shopping
Cult.fit IMPS,Miscellaneous
Steam,Entertainment
BlueDart Payment,Miscellaneous
Temple Donation Auto-pay,Miscellaneous
Reliance Digital Online,Shopping
Amazon Transaction,Shopping
Household Items Recharge,Groceries
KFC Recharge,Food
Airtel Postpaid,Bills
Apollo Pharmacy Online,Healthcare
Flipkart Online,Shopping
Dining NEFT,Food
Bus Ticket Bill,Travel
Lifestyle NEFT,Shopping
Flipkart,Shopping
Courier Service NEFT,Miscellaneous
Airtel Postpaid Recharge,Bills
Dental Treatment Recharge,Healthcare
Zepto App,Groceries
Reliance Smart Recharge,Groceries
Maintenance Charges NEFT,Bills
Mall Purchase App,Shopping
Netmeds NEFT,Healthcare
McDonalds IMPS,Food
Reliance Digital via UPI,Shopping
1mg NEFT,Healthcare
Myntra,Shopping
BlueDart via UPI,Miscellaneous
OTT Subscription Online,Entertainment
Doctor Consultation Online,Healthcare
Instamart Auto-pay,Groceries
Tata Power,Bills
Rent Payment Online,Bills
PVR Cinemas Auto-pay,Entertainment
Train Ticket Recharge,Travel
Doctor Consultation Online,Healthcare
Music Subscription Payment,Entertainment
McDonalds,Food
Airtel Postpaid App,Bills
Dining Bill,Food
Street Food Recharge,Food
Flipkart App,Shopping
ATM Withdrawal Recharge,Miscellaneous
Practo App,Healthcare
Swiggy Recharge,Food
Hospital Bill Bill,Healthcare
Electronics Store Transaction,Shopping
Cafe Coffee Day Recharge,Food
Croma Transaction,Shopping
Clinic Visit via UPI,Healthcare
BlueDart Recharge,Miscellaneous
Electronics Store via UPI,Shopping
Supermarket Grocery NEFT,Groceries
ATM Withdrawal Payment,Miscellaneous
1mg Bill,Healthcare
Dental Treatment Online,Healthcare
Sports Ticket IMPS,Entertainment
Charity Recharge,Miscellaneous
Broadband Bill via UPI,Bills
Local Cafe Payment,Food
Rent Payment Payment,Bills
Temple Donation,Miscellaneous
Shoppers Stop Bill,Shopping
Courier Service Recharge,Miscellaneous
Temple Donation Bill,Miscellaneous
Daily Essentials Bill,Groceries
Cab Ride via UPI,Travel
Amazon Prime Recharge,Entertainment
Practo Payment,Healthcare
Gym Membership Recharge,Miscellaneous
Courier Service Purchase,Miscellaneous
Maintenance Charges,Bills
Jio Recharge Online,Bills
Donation Purchase,Miscellaneous
Cafe Coffee Day Bill,Food
Retail Store Recharge,Shopping
Dental Treatment,Healthcare
Daily Essentials Bill,Groceries
Mahanagar Gas via UPI,Bills
Parking Fee Payment,Miscellaneous
Shoppers Stop via UPI,Shopping
Clothing Store Payment,Shopping
Blinkit via UPI,Groceries
Clothing Store,Shopping
Supermarket Grocery NEFT,Groceries
Jio Recharge Transaction,Bills
Courier Service App,Miscellaneous
Croma Recharge,Shopping
Domino's Recharge,Food
Cab Ride Online,Travel
Vi Mobile Bill App,Bills
Jio Recharge Transaction,Bills
DTH Recharge Transaction,Bills
Clinic Visit Online,Healthcare
Bus Ticket,Travel
Zepto NEFT,Groceries
Flight Ticket Transaction,Travel
Tata Power App,Bills
Electronics Store Auto-pay,Shopping
Bank Charges IMPS,Miscellaneous
Amazon App,Shopping
Rent Payment via UPI,Bills
Pharma App,Healthcare
Metro Recharge Purchase,Travel
Practo via UPI,Healthcare
Dining Online,Food
Flipkart Purchase,Shopping
Zepto Purchase,Groceries
Nykaa NEFT,Shopping
Zomato Purchase,Food
Event Ticket Recharge,Entertainment
Metro Recharge Payment,Travel
Maintenance Charges App,Bills
Dining,Food
Cult.fit Auto-pay,Miscellaneous
Bus Ticket Payment,Travel
Restaurant App,Food
Coffee Shop Auto-pay,Food
ATM Withdrawal NEFT,Miscellaneous
Starbucks Purchase,Food
Rapido Transaction,Travel
Milk Purchase,Groceries
BookMyShow via UPI,Entertainment
DMart via UPI,Groceries
BigBasket Bill,Groceries
Milk Purchase Auto-pay,Groceries
Daily Essentials Bill,Groceries
Gaming Top-up,Entertainment
Netflix Transaction,Entertainment
Water Bill via UPI,Bills
Ajio Transaction,Shopping
Airtel Postpaid IMPS,Bills
Milk Purchase Payment,Groceries
Lifestyle Transaction,Shopping
McDonalds Online,Food
Retail Store Online,Shopping
India Post IMPS,Miscellaneous
Clinic Visit Payment,Healthcare
Shoppers Stop Bill,Shopping
Zomato via UPI,Food
Practo via UPI,Healthcare
Domino's Purchase,Food
BookMyShow Recharge,Entertainment
Restaurant IMPS,Food
Mall Purchase Purchase,Shopping
Domino's App,Food
Netflix Purchase,Entertainment
Parking Fee Payment,Miscellaneous
Doctor Consultation Online,Healthcare
Tata Power IMPS,Bills
DMart Recharge,Groceries
Inox Transaction,Entertainment
DMart Purchase,Groceries
Temple Donation via UPI,Miscellaneous
MakeMyTrip IMPS,Travel
Instamart Bill,Groceries
Starbucks Auto-pay,Food
Maintenance Charges,Bills
1mg Auto-pay,Healthcare
Nykaa IMPS,Shopping
PVR Cinemas Auto-pay,Entertainment
Croma IMPS,Shopping
Steam NEFT,Entertainment
Blinkit Auto-pay,Groceries
Nature's Basket NEFT,Groceries
Reliance Smart IMPS,Groceries
KFC Purchase,Food
Steam Transaction,Entertainment
India Post Recharge,Miscellaneous
Bikanervala Bill,Food
Hospital Bill NEFT,Healthcare
RedBus App,Travel
Amazon NEFT,Shopping
Vi Mobile Bill IMPS,Bills
Flight Ticket Purchase,Travel
Milk Purchase Online,Groceries
Milk Purchase IMPS,Groceries
Tata Power Transaction,Bills
IRCTC Bill,Travel
BlueDart Recharge,Miscellaneous
Mall Purchase Bill,Shopping
1mg,Healthcare
Hotstar Online,Entertainment
Metro Recharge Purchase,Travel
Flight Ticket Recharge,Travel
Domino's App,Food
Flipkart NEFT,Shopping
Steam via UPI,Entertainment
Airtel Postpaid Auto-pay,Bills
Lifestyle IMPS,Shopping
DTH Recharge NEFT,Bills
BigBasket Online,Groceries
Steam Auto-pay,Entertainment
Tata Power Recharge,Bills
McDonalds Payment,Food
BlueDart,Miscellaneous
Starbucks Bill,Food
Music Subscription IMPS,Entertainment
ATM Withdrawal IMPS,Miscellaneous
Rapido Bill,Travel
Broadband Bill Payment,Bills
Vi Mobile Bill Purchase,Bills
Temple Donation NEFT,Miscellaneous
Apollo Pharmacy NEFT,Healthcare
Uber IMPS,Travel
1mg Transaction,Healthcare
Clinic Visit Bill,Healthcare
Instamart Payment,Groceries
BigBasket Online,Groceries
Pharma Transaction,Healthcare
Temple Donation Purchase,Miscellaneous
Cult.fit Transaction,Miscellaneous
ATM Withdrawal Payment,Miscellaneous
Starbucks App,Food
DMart App,Groceries
Bakery Transaction,Food
Donation Purchase,Miscellaneous
Reliance Smart via UPI,Groceries
PVR Cinemas NEFT,Entertainment
Zepto Payment,Groceries
Reliance Smart Auto-pay,Groceries
Clothing Store IMPS,Shopping
Indigo Airlines App,Travel
McDonalds Payment,Food
Croma NEFT,Shopping
Charity,Miscellaneous
Event Ticket via UPI,Entertainment
DMart Purchase,Groceries
Donation NEFT,Miscellaneous
Water Bill Purchase,Bills
Practo Online,Healthcare
BigBasket IMPS,Groceries
OTT Subscription Auto-pay,Entertainment
Donation via UPI,Miscellaneous
Health Insurance,Healthcare
Rapido via UPI,Travel
Indigo Airlines,Travel
Mahanagar Gas Payment,Bills
Bikanervala Auto-pay,Food
RedBus NEFT,Travel
Instamart Transaction,Groceries
Medical Lab Test Payment,Healthcare
Netmeds Transaction,Healthcare
BlueDart Online,Miscellaneous
Shoppers Stop Payment,Shopping
Health Insurance Purchase,Healthcare
Amazon Prime IMPS,Entertainment
Zepto Bill,Groceries
Netflix App,Entertainment
Cab Ride via UPI,Travel
Ajio Payment,Shopping
Clothing Store Bill,Shopping
Haldirams Bill,Food
Milk Purchase Transaction,Groceries
Netflix IMPS,Entertainment
Train Ticket Payment,Travel
Train Ticket Transaction,Travel
MakeMyTrip Purchase,Travel
Sports Ticket Bill,Entertainment
BookMyShow Payment,Entertainment
Ola Purchase,Travel
Vi Mobile Bill Online,Bills
Mall Purchase Auto-pay,Shopping
Daily Essentials Recharge,Groceries
Flight Ticket Transaction,Travel
Lifestyle Transaction,Shopping
Domino's,Food
Bank Charges App,Miscellaneous
Train Ticket Transaction,Travel
Parking Fee Transaction,Miscellaneous
Bescom Recharge,Bills
Myntra NEFT,Shopping
Parking Fee IMPS,Miscellaneous
Gaming Top-up Auto-pay,Entertainment
Local Kirana Recharge,Groceries
Daily Essentials NEFT,Groceries
Dental Treatment Recharge,Healthcare
Bakery Recharge,Food
Croma NEFT,Shopping
India Post Recharge,Miscellaneous
Doctor Consultation Transaction,Healthcare
Health Insurance Transaction,Healthcare
Cult.fit Auto-pay,Miscellaneous
Amazon Prime Transaction,Entertainment
Amazon Prime Payment,Entertainment
Clinic Visit Bill,Healthcare
Health Insurance Purchase,Healthcare
Music Subscription Online,Entertainment
Haldirams IMPS,Food
Clothing Store Purchase,Shopping
Cafe Coffee Day Auto-pay,Food
Swiggy NEFT,Food
Mahanagar Gas Bill,Bills
OTT Subscription Bill,Entertainment
General Store via UPI,Groceries
DTH Recharge IMPS,Bills
Donation IMPS,Miscellaneous
Amazon Prime via UPI,Entertainment
Practo IMPS,Healthcare
Zomato Bill,Food
Milk Purchase NEFT,Groceries
Hospital Bill Auto-pay,Healthcare
Daily Essentials NEFT,Groceries
Bakery Transaction,Food
Clinic Visit Online,Healthcare
Starbucks Payment,Food
India Post NEFT,Miscellaneous
BigBasket NEFT,Groceries
Mahanagar Gas IMPS,Bills
Gaming Top-up Recharge,Entertainment
Shoppers Stop IMPS,Shopping
Zepto Purchase,Groceries
Train Ticket Transaction,Travel
Sports Ticket Payment,Entertainment
Jio Recharge Transaction,Bills
IRCTC IMPS,Travel
Myntra Online,Shopping
BookMyShow via UPI,Entertainment
BookMyShow Purchase,Entertainment
Appliance Store Bill,Shopping
Dining IMPS,Food
Mall Purchase Auto-pay,Shopping
Supermarket Grocery NEFT,Groceries
Water Bill Bill,Bills
Pharma Payment,Healthcare
Spotify Recharge,Entertainment
Steam IMPS,Entertainment
Sports Ticket Online,Entertainment
RedBus Purchase,Travel
Water Bill Auto-pay,Bills
ATM Withdrawal Auto-pay,Miscellaneous
DTH Recharge NEFT,Bills
Dining Bill,Food
Doctor Consultation Bill,Healthcare
Air India Payment,Travel
Doctor Consultation App,Healthcare
Netflix,Entertainment
1mg NEFT,Healthcare
Pharma App,Healthcare
Gaming Top-up Purchase,Entertainment
Ola via UPI,Travel
Bakery Payment,Food
Flipkart via UPI,Shopping
Uber App,Travel
Rapido IMPS,Travel
Bescom Recharge,Bills
Jio Recharge Online,Bills
Local Cafe Transaction,Food
Amazon Prime IMPS,Entertainment
Zepto Online,Groceries
Bescom Purchase,Bills
Dining Auto-pay,Food
Hospital Bill Online,Healthcare
Spotify Purchase,Entertainment
DMart Payment,Groceries
Local Cafe App,Food
BlueDart IMPS,Miscellaneous
Dining Bill,Food
Practo Purchase,Healthcare
BigBasket Auto-pay,Groceries
OTT Subscription Purchase,Entertainment
BigBasket Bill,Groceries
Myntra IMPS,Shopping
Medical Lab Test,Healthcare
Temple Donation Auto-pay,Miscellaneous
Zepto,Groceries
Nykaa Transaction,Shopping
Apollo Pharmacy Transaction,Healthcare
Retail Store Recharge,Shopping
Dining via UPI,Food
Donation NEFT,Miscellaneous
Tata Power App,Bills
Bakery App,Food
Cab Ride IMPS,Travel
ATM Withdrawal,Miscellaneous
Mall Purchase Purchase,Shopping
Supermarket Grocery Recharge,Groceries
Inox Online,Entertainment
Airport Taxi Purchase,Travel
Sports Ticket IMPS,Entertainment
Reliance Smart Bill,Groceries
Indigo Airlines NEFT,Travel
Instamart Bill,Groceries
Mahanagar Gas App,Bills
Ola,Travel
Reliance Digital NEFT,Shopping
Ola Recharge,Travel
Myntra Transaction,Shopping
Zepto IMPS,Groceries
Nature's Basket App,Groceries
Pharma NEFT,Healthcare
Bank Charges Payment,Miscellaneous
1mg Purchase,Healthcare
Street Food Online,Food
1mg,Healthcare
Apollo Pharmacy App,Healthcare
Ajio Payment,Shopping
Amazon Prime Transaction,Entertainment
RedBus,Travel
Sports Ticket NEFT,Entertainment
Vi Mobile Bill Recharge,Bills
Water Bill IMPS,Bills
Dental Treatment Transaction,Healthcare
KFC Payment,Food
Netflix Purchase,Entertainment
Electricity Bill Purchase,Bills
Blinkit Auto-pay,Groceries
Daily Essentials via UPI,Groceries
Myntra Payment,Shopping
Water Bill Purchase,Bills
OTT Subscription via UPI,Entertainment
Supermarket Grocery Purchase,Groceries
RedBus NEFT,Travel
Bikanervala Payment,Food
Charity Recharge,Miscellaneous
Dental Treatment Online,Healthcare
BlueDart NEFT,Miscellaneous
Local Cafe Auto-pay,Food
Dining via UPI,Food
Temple Donation,Miscellaneous
BookMyShow Payment,Entertainment
Clinic Visit NEFT,Healthcare
Cab Ride Auto-pay,Travel
DTH Recharge Auto-pay,Bills
Tata Power,Bills
Clothing Store Payment,Shopping
Supermarket Grocery via UPI,Groceries
Event Ticket Purchase,Entertainment
Reliance Digital NEFT,Shopping
RedBus NEFT,Travel
Donation App,Miscellaneous
DTH Recharge Online,Bills
Bescom Payment,Bills
BookMyShow Auto-pay,Entertainment
DMart Payment,Groceries
Water Bill Auto-pay,Bills
Steam App,Entertainment
Air India IMPS,Travel
Swiggy Payment,Food
DMart Recharge,Groceries
Event Ticket,Entertainment
Metro Recharge Payment,Travel
Household Items App,Groceries
Restaurant NEFT,Food
Zomato Purchase,Food
Reliance Digital Transaction,Shopping
Gym Membership App,Miscellaneous
Flight Ticket NEFT,Travel
Dining,Food
Dental Treatment Purchase,Healthcare
BlueDart App,Miscellaneous
KFC Recharge,Food
Broadband Bill Bill,Bills
Instamart Recharge,Groceries
Netmeds,Healthcare
Rapido Transaction,Travel
Domino's Recharge,Food
Pharma,Healthcare
Vi Mobile Bill Transaction,Bills
Cult.fit Auto-pay,Miscellaneous
Zomato Online,Food
Courier Service Recharge,Miscellaneous
Milk Purchase Bill,Groceries
OTT Subscription Purchase,Entertainment
Air India App,Travel
Amazon Prime Recharge,Entertainment
BigBasket via UPI,Groceries
Lifestyle NEFT,Shopping
Retail Store Recharge,Shopping
Airport Taxi App,Travel
Mahanagar Gas via UPI,Bills
Lifestyle NEFT,Shopping
Vi Mobile Bill via UPI,Bills
Nature's Basket via UPI,Groceries
Croma Auto-pay,Shopping
Netmeds Transaction,Healthcare
Appliance Store Transaction,Shopping
Local Kirana Recharge,Groceries
Clinic Visit Auto-pay,Healthcare
Metro Recharge App,Travel
Mall Purchase Transaction,Shopping
Vi Mobile Bill,Bills
Vi Mobile Bill Transaction,Bills
Coffee Shop,Food
Cab Ride Transaction,Travel
DMart Transaction,Groceries
Swiggy Recharge,Food
Doctor Consultation App,Healthcare
Doctor Consultation Auto-pay,Healthcare
OTT Subscription Purchase,Entertainment
Gaming Top-up Payment,Entertainment
Doctor Consultation via UPI,Healthcare
Uber Bill,Travel
Appliance Store IMPS,Shopping
Charity Transaction,Miscellaneous
Metro Recharge Recharge,Travel
Starbucks Purchase,Food
RedBus Recharge,Travel
Hospital Bill Recharge,Healthcare
Appliance Store Auto-pay,Shopping
Flipkart via UPI,Shopping
Zepto Payment,Groceries
Shoppers Stop Transaction,Shopping
Jio Recharge IMPS,Bills
Hospital Bill via UPI,Healthcare
Reliance Smart NEFT,Groceries
Domino's via UPI,Food
Milk Purchase App,Groceries
Parking Fee,Miscellaneous
Courier Service Purchase,Miscellaneous
Mahanagar Gas NEFT,Bills
Ajio App,Shopping
Doctor Consultation Auto-pay,Healthcare
OTT Subscription Payment,Entertainment
Gaming Top-up via UPI,Entertainment
Retail Store Recharge,Shopping
IRCTC NEFT,Travel
Clothing Store Bill,Shopping
Appliance Store,Shopping
Parking Fee Bill,Miscellaneous
Apollo Pharmacy Purchase,Healthcare
Amazon Payment,Shopping
Netmeds Online,Healthcare
RedBus IMPS,Travel
Pharma Bill,Healthcare
Metro Recharge,Travel
Ajio Bill,Shopping
Cult.fit NEFT,Miscellaneous
Bus Ticket via UPI,Travel
Sports Ticket Payment,Entertainment
Electronics Store,Shopping
BlueDart NEFT,Miscellaneous
Bescom IMPS,Bills
General Store Auto-pay,Groceries
Bescom App,Bills
Hotstar IMPS,Entertainment
MakeMyTrip Recharge,Travel
KFC Online,Food
Apollo Pharmacy Transaction,Healthcare
Medical Lab Test Bill,Healthcare
Water Bill,Bills
Daily Essentials IMPS,Groceries
ATM Withdrawal App,Miscellaneous
Jio Recharge App,Bills
Netmeds Recharge,Healthcare
BookMyShow Bill,Entertainment
IRCTC via UPI,Travel
Restaurant Auto-pay,Food
Netflix,Entertainment
Street Food Purchase,Food
RedBus,Travel
Music Subscription Bill,Entertainment
Cafe Coffee Day Recharge,Food
Daily Essentials Recharge,Groceries
Flipkart NEFT,Shopping
Broadband Bill Purchase,Bills
Domino's Purchase,Food
Flipkart Online,Shopping
Hospital Bill IMPS,Healthcare
Restaurant Auto-pay,Food
Domino's via UPI,Food
Nykaa Recharge,Shopping
Hotstar Purchase,Entertainment
Bescom via UPI,Bills
Lifestyle NEFT,Shopping
Starbucks Purchase,Food
Myntra Bill,Shopping
IRCTC via UPI,Travel
Jio Recharge via UPI,Bills
Metro Recharge Bill,Travel
Bescom,Bills
Vi Mobile Bill NEFT,Bills
Ajio Payment,Shopping
Gaming Top-up Purchase,Entertainment
DMart via UPI,Groceries
Coffee Shop App,Food
Bikanervala Transaction,Food
Nykaa Recharge,Shopping
Shoppers Stop Bill,Shopping
Parking Fee Payment,Miscellaneous
Blinkit Online,Groceries
Household Items Purchase,Groceries
Flight Ticket IMPS,Travel
Milk Purchase Auto-pay,Groceries
Apollo Pharmacy Bill,Healthcare
Street Food Online,Food
Apollo Pharmacy NEFT,Healthcare
Apollo Pharmacy NEFT,Healthcare
Cab Ride IMPS,Travel
Tata Power,Bills
Zomato Payment,Food
Train Ticket Auto-pay,Travel
General Store IMPS,Groceries
McDonalds Payment,Food
Blinkit Recharge,Groceries
Bikanervala NEFT,Food
Croma Recharge,Shopping
Gaming Top-up,Entertainment
Zepto Payment,Groceries
Cab Ride Auto-pay,Travel
Water Bill Recharge,Bills
Milk Purchase Transaction,Groceries
Tata Power Auto-pay,Bills
ATM Withdrawal Recharge,Miscellaneous
Swiggy Recharge,Food
Shoppers Stop Payment,Shopping
Local Cafe Purchase,Food
Broadband Bill Transaction,Bills
Amazon Prime Auto-pay,Entertainment
BigBasket Recharge,Groceries
Electricity Bill Auto-pay,Bills
1mg Purchase,Healthcare
ATM Withdrawal Payment,Miscellaneous
Music Subscription Online,Entertainment
Domino's Recharge,Food
Swiggy Bill,Food
Bus Ticket IMPS,Travel
India Post Recharge,Miscellaneous
Bus Ticket,Travel
Maintenance Charges Transaction,Bills
Nykaa Online,Shopping
Swiggy Bill,Food
Clinic Visit Purchase,Healthcare
Local Cafe Online,Food
Rapido Auto-pay,Travel
Mahanagar Gas Auto-pay,Bills
Cult.fit App,Miscellaneous
Bikanervala NEFT,Food
Croma Bill,Shopping
Hotstar Online,Entertainment
DMart Payment,Groceries
Bikanervala NEFT,Food
Practo Purchase,Healthcare
Starbucks App,Food
ATM Withdrawal Online,Miscellaneous
Hospital Bill Auto-pay,Healthcare
BookMyShow,Entertainment
Clinic Visit Purchase,Healthcare
Hotstar Recharge,Entertainment
Airport Taxi App,Travel
Flipkart Purchase,Shopping
Event Ticket Recharge,Entertainment
Steam Purchase,Entertainment
Hospital Bill Online,Healthcare
Courier Service via UPI,Miscellaneous
OTT Subscription Auto-pay,Entertainment
Water Bill Transaction,Bills
Train Ticket App,Travel
Electronics Store Recharge,Shopping
Cab Ride,Travel
Gaming Top-up Transaction,Entertainment
Netflix Online,Entertainment
Blinkit Transaction,Groceries
ATM Withdrawal Bill,Miscellaneous
Hotstar IMPS,Entertainment
Apollo Pharmacy Recharge,Healthcare
General Store NEFT,Groceries
Apollo Pharmacy Recharge,Healthcare
Zepto Recharge,Groceries
Supermarket Grocery Recharge,Groceries
Retail Store via UPI,Shopping
Supermarket Grocery Purchase,Groceries
Bank Charges Payment,Miscellaneous
Jio Recharge Transaction,Bills
Air India Bill,Travel
Clinic Visit,Healthcare
Reliance Smart via UPI,Groceries
Reliance Digital,Shopping
Cult.fit IMPS,Miscellaneous
Gym Membership Recharge,Miscellaneous
Music Subscription Bill,Entertainment
Netflix Payment,Entertainment
Bescom Online,Bills
Local Cafe,Food
Uber,Travel
India Post Purchase,Miscellaneous
Appliance Store App,Shopping
RedBus Purchase,Travel
Shoppers Stop App,Shopping
OTT Subscription Recharge,Entertainment
McDonalds Online,Food
Cab Ride,Travel
Bank Charges Bill,Miscellaneous
Broadband Bill IMPS,Bills
BookMyShow Bill,Entertainment
BlueDart IMPS,Miscellaneous
Metro Recharge App,Travel
Zepto Auto-pay,Groceries
Gaming Top-up Recharge,Entertainment
Uber Bill,Travel
Restaurant Payment,Food
Dental Treatment IMPS,Healthcare
Swiggy,Food
Local Kirana Purchase,Groceries
Myntra Auto-pay,Shopping
Zomato IMPS,Food
IRCTC NEFT,Travel
Netmeds IMPS,Healthcare
Local Kirana IMPS,Groceries
Milk Purchase NEFT,Groceries
Local Kirana Recharge,Groceries
Electronics Store IMPS,Shopping
Swiggy Online,Food
Rent Payment Bill,Bills
Train Ticket Purchase,Travel
KFC Payment,Food
Rent Payment NEFT,Bills
Practo Purchase,Healthcare
Courier Service via UPI,Miscellaneous
Broadband Bill Online,Bills
Ajio Auto-pay,Shopping
Vi Mobile Bill via UPI,Bills
Zepto Transaction,Groceries
Domino's Auto-pay,Food
ATM Withdrawal Purchase,Miscellaneous
Cafe Coffee Day IMPS,Food
Instamart Auto-pay,Groceries
Bikanervala NEFT,Food
BlueDart,Miscellaneous
Gym Membership Payment,Miscellaneous
OTT Subscription Payment,Entertainment
Nykaa Bill,Shopping
Lifestyle Transaction,Shopping
Bikanervala Transaction,Food
IRCTC Payment,Travel
Indigo Airlines Auto-pay,Travel
Nykaa Purchase,Shopping
Bescom App,Bills
Tata Power Payment,Bills
Air India Purchase,Travel
Cafe Coffee Day Purchase,Food
Daily Essentials Bill,Groceries
Jio Recharge,Bills
Household Items Payment,Groceries
BigBasket via UPI,Groceries
Bank Charges Payment,Miscellaneous
Clothing Store Online,Shopping
Doctor Consultation App,Healthcare
Spotify,Entertainment
Vi Mobile Bill Transaction,Bills
Reliance Digital Bill,Shopping
Local Cafe App,Food
KFC App,Food
Nature's Basket IMPS,Groceries
Hotstar via UPI,Entertainment
Household Items via UPI,Groceries
Milk Purchase IMPS,Groceries
1mg Transaction,Healthcare
Netflix App,Entertainment
Metro Recharge,Travel
Mall Purchase IMPS,Shopping
Pharma,Healthcare
Steam,Entertainment
Electronics Store,Shopping
Maintenance Charges Online,Bills
Nykaa Online,Shopping
Bus Ticket Transaction,Travel
Supermarket Grocery via UPI,Groceries
Flight Ticket Payment,Travel
Myntra Transaction,Shopping
General Store,Groceries
Airport Taxi App,Travel
Bakery Bill,Food
Swiggy via UPI,Food
Local Kirana Purchase,Groceries
Bakery Auto-pay,Food
Pharma Purchase,Healthcare
Charity App,Miscellaneous
Electricity Bill Payment,Bills
OTT Subscription NEFT,Entertainment
Tata Power IMPS,Bills
Rapido Auto-pay,Travel
Vi Mobile Bill IMPS,Bills
Gaming Top-up App,Entertainment
Mall Purchase NEFT,Shopping
Bikanervala via UPI,Food
Charity Purchase,Miscellaneous
KFC App,Food
Supermarket Grocery Bill,Groceries
Gym Membership Transaction,Miscellaneous
Metro Recharge Auto-pay,Travel
General Store Transaction,Groceries
Gym Membership App,Miscellaneous
Milk Purchase Auto-pay,Groceries
Maintenance Charges via UPI,Bills
Electricity Bill Transaction,Bills
Water Bill,Bills
Jio Recharge IMPS,Bills
DTH Recharge App,Bills
Inox,Entertainment
Rent Payment NEFT,Bills
Electronics Store IMPS,Shopping
Temple Donation Auto-pay,Miscellaneous
Bakery App,Food
Milk Purchase,Groceries
ATM Withdrawal NEFT,Miscellaneous
Myntra Online,Shopping
IRCTC IMPS,Travel
Blinkit Recharge,Groceries
Pharma Transaction,Healthcare
Swiggy Payment,Food
Dining Purchase,Food
Dental Treatment Recharge,Healthcare
Rent Payment Transaction,Bills
Bakery App,Food
Rapido,Travel
Local Cafe Auto-pay,Food
RedBus Online,Travel
Nykaa,Shopping
BigBasket IMPS,Groceries
Local Cafe App,Food
Indigo Airlines Payment,Travel
Nykaa IMPS,Shopping
Electronics Store Auto-pay,Shopping
Vi Mobile Bill Bill,Bills
Zepto Bill,Groceries
Coffee Shop App,Food
Zepto Payment,Groceries
Amazon Recharge,Shopping
Milk Purchase Purchase,Groceries
Practo IMPS,Healthcare
Coffee Shop IMPS,Food
Flipkart,Shopping
Flipkart App,Shopping
Health Insurance NEFT,Healthcare
Amazon Prime,Entertainment
Local Cafe IMPS,Food
Nature's Basket Online,Groceries
Local Kirana IMPS,Groceries
General Store Online,Groceries
India Post IMPS,Miscellaneous
Parking Fee IMPS,Miscellaneous
BlueDart App,Miscellaneous
Vi Mobile Bill Payment,Bills
Rapido Transaction,Travel
BigBasket Transaction,Groceries
Bank Charges Bill,Miscellaneous
Local Kirana Payment,Groceries
Metro Recharge Online,Travel
Starbucks Payment,Food
Bescom Purchase,Bills
Netflix,Entertainment
Mall Purchase Payment,Shopping
Supermarket Grocery Payment,Groceries
Milk Purchase Online,Groceries
Health Insurance Purchase,Healthcare
Gym Membership App,Miscellaneous
Reliance Smart via UPI,Groceries
IRCTC App,Travel
Ola Online,Travel
Zepto Payment,Groceries
Spotify IMPS,Entertainment
Mahanagar Gas App,Bills
ATM Withdrawal via UPI,Miscellaneous
RedBus Recharge,Travel
KFC NEFT,Food
Street Food,Food
Spotify Payment,Entertainment
Temple Donation Online,Miscellaneous
Local Kirana Auto-pay,Groceries
Swiggy Bill,Food
Reliance Smart NEFT,Groceries
Local Cafe,Food
Gaming Top-up Payment,Entertainment
Music Subscription IMPS,Entertainment
Courier Service NEFT,Miscellaneous
IRCTC Auto-pay,Travel
Mahanagar Gas IMPS,Bills
Indigo Airlines App,Travel
Donation Auto-pay,Miscellaneous
Blinkit Bill,Groceries
OTT Subscription Online,Entertainment
Health Insurance via UPI,Healthcare
Milk Purchase Auto-pay,Groceries
Blinkit via UPI,Groceries
Cult.fit Recharge,Miscellaneous
Amazon IMPS,Shopping
Cab Ride Auto-pay,Travel
ATM Withdrawal Auto-pay,Miscellaneous
Rapido NEFT,Travel
Clinic Visit via UPI,Healthcare
Croma Transaction,Shopping
RedBus Auto-pay,Travel
IRCTC Online,Travel
Charity Purchase,Miscellaneous
BigBasket Recharge,Groceries
Maintenance Charges Payment,Bills
Croma App,Shopping
Zepto Purchase,Groceries
Croma Auto-pay,Shopping
Swiggy Online,Food
Haldirams Payment,Food
Pharma,Healthcare
Airport Taxi Purchase,Travel
KFC Auto-pay,Food
Sports Ticket Transaction,Entertainment
Daily Essentials Online,Groceries
Daily Essentials Recharge,Groceries
Uber via UPI,Travel
Hotstar Auto-pay,Entertainment
Appliance Store App,Shopping
KFC NEFT,Food
Domino's Purchase,Food
Nykaa Transaction,Shopping
Mall Purchase Bill,Shopping
BlueDart Transaction,Miscellaneous
Swiggy Transaction,Food
Practo App,Healthcare
Jio Recharge Purchase,Bills
Local Cafe Transaction,Food
Starbucks Online,Food
Cult.fit via UPI,Miscellaneous
Apollo Pharmacy Payment,Healthcare
Electronics Store,Shopping
Temple Donation Payment,Miscellaneous
Health Insurance via UPI,Healthcare
Amazon Prime,Entertainment
Rapido Purchase,Travel
